,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage,camefrom
93,NPR,2022-09-07,Elizabeth Holmes wants a new trial because a prosecution witness is acting remorseful,"Former Theranos CEO Elizabeth Holmes, center, her mother, Noel Holmes, left, and father, Christian Holmes IV, arrive Sept. 1 at federal court in San Jose, Calif.
Jeff Chiu/AP
SAN FRANCISCO Disgrace… [+2471 chars]",Elizabeth Holmes wants new trial prosecution witness acting remorseful,"Former Theranos CEO Elizabeth Holmes , center , mother , Noel Holmes , left , father , Christian Holmes IV , arrive Sept. 1 federal court San Jose , Calif. Jeff Chiu/AP SAN FRANCISCO Disgrace… [ +2471 chars ]",English,https://www.npr.org/2022/09/07/1121531267/elizabeth-holmes-theranos-investor-fraud-new-trial,https://media.npr.org/assets/img/2022/09/07/ap22249705454738_wide-3592f4d9c15153e254106ce94d56add698403f42.jpg?s=1400,Unknown,Unknown,True,newsAPI
94,Reuters,2022-09-08,Fact Check-BBC.com banner was not switched 'from red to black' amid reports of Queen Elizabeth's health - Reuters,Claims that the BBC changed the banner of its websites landing page from red to black in anticipation of the death of Queen Elizabeth II on Sept. 8 are false. Archived versions of the website confirm… [+1367 chars],Fact Check-BBC.com banner switched 'from red black ' amid reports Queen Elizabeth 's health - Reuters,Claims BBC changed banner websites landing page red black anticipation death Queen Elizabeth II Sept. 8 false . Archived versions website confirm… [ +1367 chars ],English,https://www.reuters.com/article/factcheck-queen-bbc-idUSL1N30F2HK,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,Unknown,Unknown,True,newsAPI
95,Reuters,2022-09-08,Queen Elizabeth's health: Reaction from politicians and officials - Reuters UK,"Sept 8 (Reuters) - Family members rushed to be by the side of Queen Elizabeth on Thursday after doctors said they were concerned about the health of Britain's 96-year-old monarch, saying she should r… [+2562 chars]",Queen Elizabeth 's health : Reaction politicians officials - Reuters UK,"Sept 8 ( Reuters ) - Family members rushed side Queen Elizabeth Thursday doctors said concerned health Britain 's 96-year-old monarch , saying r… [ +2562 chars ]",English,https://www.reuters.com/world/uk/reaction-uk-doctors-say-concerned-queens-health-2022-09-08/,https://www.reuters.com/resizer/R4saYv8T6p2cce_PLUkTDjQoSxQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3XKY7PPFSNJSTMD6HYQBG2ORYI.jpg,Unknown,Unknown,True,newsAPI
96,Fort Worth Star-Telegram,2022-09-08,Texas libraries are removing books about Queen Elizabeth. The reason may surprise you,"When Fort Worth elementary school librarian Mindy Selby arrived at work Thursday morning, she hadnt heard the news that Queen Elizabeth II was under medical supervision at Balmoral Castle.
Hours lat… [+5489 chars]",Texas libraries removing books Queen Elizabeth . The reason may surprise,"When Fort Worth elementary school librarian Mindy Selby arrived work Thursday morning , hadnt heard news Queen Elizabeth II medical supervision Balmoral Castle . Hours lat… [ +5489 chars ]",English,https://www.star-telegram.com/news/local/education/article265490521.html,https://s.yimg.com/uu/api/res/1.2/OPAMf0Ke.JMXBG.GuSCSyw--~B/aD03NTk7dz0xMTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fort_worth_star_telegram_mcclatchy_952/3c13d66d2e6a1d14b3e310c225c64c96,Unknown,Unknown,True,newsAPI
97,Yahoo Entertainment,2022-09-08,"Queen Elizabeth 'under medical supervision,' Buckingham Palace says","STORY: Family members of Britain's Queen Elizabeth rushed to be by her side Thursday (September 9), after Buckingham Palace announced that her doctors were concerned about her health. They recommende… [+933 chars]","Queen Elizabeth 'under medical supervision , ' Buckingham Palace says","STORY : Family members Britain 's Queen Elizabeth rushed side Thursday ( September 9 ) , Buckingham Palace announced doctors concerned health . They recommende… [ +933 chars ]",English,https://news.yahoo.com/queen-elizabeth-under-medical-supervision-143101292.html,https://s.yimg.com/ny/api/res/1.2/UNgZcuw8ASgtl9es6M_w8g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/7f86d470-2f82-11ed-b6fe-fe9a85627a48,Unknown,Unknown,True,newsAPI
98,The Globe And Mail,2022-09-07,Queen Elizabeth postpones meeting on advice of doctors - The Globe and Mail,"Britain's Queen Elizabeth II waits in the Drawing Room before receiving Liz Truss for an audience at Balmoral, in Aberdeenshire, Scotland, on Sept. 6.Jane Barlow/The Associated Press
Britains Queen … [+1681 chars]",Queen Elizabeth postpones meeting advice doctors - The Globe Mail,"Britain 's Queen Elizabeth II waits Drawing Room receiving Liz Truss audience Balmoral , Aberdeenshire , Scotland , Sept. 6.Jane Barlow/The Associated Press Britains Queen … [ +1681 chars ]",English,https://www.theglobeandmail.com/world/article-queen-elizabeth-postpones-meeting-on-advice-of-doctors/,https://www.theglobeandmail.com/resizer/QKbdMPs-XrpgHF_QxG4xrG-SttQ=/1200x800/filters:quality(80)/cloudfront-us-east-1.images.arcpublishing.com/tgam/XJ764TOQEBA33FHYZFBYBYNZ7A.jpg,Unknown,Unknown,True,newsAPI
99,Global News,2022-09-08,Queen Elizabeth death: King Charles III takes throne after a lifetime of preparation - Global News,"Prince Charles has been preparing for the crown his entire life. Now, at age 73, that moment has finally arrived.
Charles, the oldest person to ever assume the throne, became King Charles III on Thu… [+9458 chars]",Queen Elizabeth death : King Charles III takes throne lifetime preparation - Global News,"Prince Charles preparing crown entire life . Now , age 73 , moment finally arrived . Charles , oldest person ever assume throne , became King Charles III Thu… [ +9458 chars ]",English,https://globalnews.ca/news/9115142/queen-elizabeth-death-king-charles-iii/,https://globalnews.ca/wp-content/uploads/2022/09/King-Charles-Queen-Elizabeth-Death.jpeg?quality=85&strip=all&crop=0px%2C20px%2C1000px%2C528px&resize=720%2C379,Unknown,Unknown,True,newsAPI
100,Reuters,2022-09-08,Britain's Prince Andrew travels to Balmoral to be with the queen - ITV reporter - Reuters.com,"Britain's Queen Elizabeth, accompanied by Prince Andrew, Duke of York, attends a service of thanksgiving for late Prince Philip, Duke of Edinburgh, at Westminster Abbey in London, Britain, March 29, … [+100 chars]",Britain 's Prince Andrew travels Balmoral queen - ITV reporter - Reuters.com,"Britain 's Queen Elizabeth , accompanied Prince Andrew , Duke York , attends service thanksgiving late Prince Philip , Duke Edinburgh , Westminster Abbey London , Britain , March 29 , … [ +100 chars ]",English,https://www.reuters.com/world/uk/britains-prince-andrew-travels-balmoral-be-with-queen-itv-reporter-2022-09-08/,https://www.reuters.com/resizer/WsntdZpP_ivjFkcCC3n6fJxegOA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/EQZJHEIPXRKRZJPRJNPLQZXLPY.jpg,Unknown,Unknown,True,newsAPI
101,Time,2022-09-08,Here’s When Queen Elizabeth II Ascended to the Throne,"Queen Elizabeth II, Britain’s longest reigning monarch, has died at 96. The Queen provided comfort to the British people even before she sat on the throne, beginning with her first ever recorded radi… [+3880 chars]",Here ’ When Queen Elizabeth II Ascended Throne,"Queen Elizabeth II , Britain ’ longest reigning monarch , died 96 . The Queen provided comfort British people even sat throne , beginning first ever recorded radi… [ +3880 chars ]",English,https://time.com/6211771/when-did-queen-elizabeth-ii-become-queen/,https://api.time.com/wp-content/uploads/2022/09/queen-elizabeth-coronation-arrival.jpg?quality=85&w=1200&h=628&crop=1,Unknown,Unknown,True,newsAPI
102,Time,2022-09-08,Queen Elizabeth II Has Died. Here’s How Prince Charles Became King,"Prince Charles was the longest-serving heir apparent in British history, a role he took on at just three years old when his mother became queen in 1952. Following Queen Elizabeth II’s death on Thursd… [+7649 chars]",Queen Elizabeth II Has Died . Here ’ How Prince Charles Became King,"Prince Charles longest-serving heir apparent British history , role took three years old mother became queen 1952 . Following Queen Elizabeth II ’ death Thursd… [ +7649 chars ]",English,https://time.com/5354868/queen-elizabeth-ii-succession-prince-charles/,https://api.time.com/wp-content/uploads/2020/07/Prince-Charles.jpg?quality=85&crop=0px%2C403px%2C2400px%2C1256px&resize=1200%2C628&strip,Unknown,Unknown,True,newsAPI
103,Time,2022-09-09,Queen Elizabeth’s Passing Could Push Some Countries to Alter Their Ties to the British Monarchy,"Queen Elizabeth II’s passing has sparked an outpouring of mourning across the world, but in many places, the end of her reign is also raising questions about what the future holds.
Over a dozen coun… [+4984 chars]",Queen Elizabeth ’ Passing Could Push Some Countries Alter Their Ties British Monarchy,"Queen Elizabeth II ’ passing sparked outpouring mourning across world , many places , end reign also raising questions future holds . Over dozen coun… [ +4984 chars ]",English,https://time.com/6212004/queen-elizabeth-republicanism-anti-monarchy/,https://api.time.com/wp-content/uploads/2022/09/jamaica-protest.jpg?quality=85&w=1024&h=628&crop=1,Unknown,Unknown,True,newsAPI
104,Time,2022-09-09,When Will Charles Officially Be Crowned King?,"Charles Mountbatten-Windsor has waited more than 70 years to fulfill the job that he was born to do. With the passing of his late mother, Queen Elizabeth II, on Thursday, the former Prince of Wales h… [+3075 chars]",When Will Charles Officially Be Crowned King ?,"Charles Mountbatten-Windsor waited 70 years fulfill job born . With passing late mother , Queen Elizabeth II , Thursday , former Prince Wales h… [ +3075 chars ]",English,https://time.com/6212122/king-charles-iii-coronation-updates/,https://api.time.com/wp-content/uploads/2022/09/GettyImages-1341309828.jpg?quality=85&w=1024&h=628&crop=1,Unknown,Unknown,True,newsAPI
105,Time,2022-09-08,The Story Behind TIME’s Commemorative Queen Elizabeth II Cover,"When Queen Elizabeth II died on Sept. 8 at 96, it was not unexpected—she had been under medical supervision at Balmoral Castle and members of the royal family traveled to Scotland to be near her. But… [+2391 chars]",The Story Behind TIME ’ Commemorative Queen Elizabeth II Cover,"When Queen Elizabeth II died Sept. 8 96 , unexpected—she medical supervision Balmoral Castle members royal family traveled Scotland near . But… [ +2391 chars ]",English,https://time.com/6211810/time-queen-elizabeth-ii-cover/,https://api.time.com/wp-content/uploads/2022/09/Queen-Cover-Final.jpg?quality=85&crop=0px%2C105px%2C2363px%2C1236px&resize=1200%2C628&strip,Unknown,Unknown,True,newsAPI
106,Time,2022-09-08,How the Royal Family Reacted to Queen Elizabeth II’s Death,"Queen Elizabeth II, Britain’s longest-reigning monarch, died on Thursday afternoon at Balmoral Castle in Scotland at the age of 96. Following concerns from her doctors about her poor health, members … [+2799 chars]",How Royal Family Reacted Queen Elizabeth II ’ Death,"Queen Elizabeth II , Britain ’ longest-reigning monarch , died Thursday afternoon Balmoral Castle Scotland age 96 . Following concerns doctors poor health , members … [ +2799 chars ]",English,https://time.com/6211943/royal-family-statements-queen-elizabeth-ii-death/,https://api.time.com/wp-content/uploads/2022/09/charles-scotland.jpg?quality=85&w=1024&h=628&crop=1,Unknown,Unknown,True,newsAPI
107,Time,2022-09-08,How Queen Elizabeth II Defined Her Own Elegant Fashion Legacy,"Queen Elizabeth II’s 70 years on the throne wasn’t just characterized by her impressive reign and noted diplomacy. The monarch’s fashion over the years consistently favored regal elegance over fads, … [+5032 chars]",How Queen Elizabeth II Defined Her Own Elegant Fashion Legacy,"Queen Elizabeth II ’ 70 years throne ’ characterized impressive reign noted diplomacy . The monarch ’ fashion years consistently favored regal elegance fads , … [ +5032 chars ]",English,https://time.com/5390202/queen-elizabeth-fashion-evolution/,https://api.time.com/wp-content/uploads/2021/04/Queen-Elizabeth-II-Fashion-09.jpg?quality=85&w=1200&h=628&crop=1,Unknown,Unknown,True,newsAPI
108,Time,2022-09-09,How Queen Elizabeth II’s Death Is Affecting the Premier League,"The Premier League just announced that this weekend’s fixtures will be suspended, as sporting events across Britain have been called off following Queen Elizabeth II’s death on Thursday.
All 10 fixt… [+3082 chars]",How Queen Elizabeth II ’ Death Is Affecting Premier League,"The Premier League announced weekend ’ fixtures suspended , sporting events across Britain called following Queen Elizabeth II ’ death Thursday . All 10 fixt… [ +3082 chars ]",English,https://time.com/6212085/premier-league-fixtures-queen-elizabeth-ii-death/,https://api.time.com/wp-content/uploads/2022/09/queen-elizabeth-ii-premier-league.jpg?quality=85&w=1024&h=628&crop=1,Unknown,Unknown,True,newsAPI
109,The Guardian,2022-09-09,Lorna Goodison on what the Queen meant to Jamaicans,I fidgeted in the front row along with the other small children in the crowd lining both sides of King Street. Every few minutes wed be told by an adult to straighten up and wave our paper union jack… [+8858 chars],Lorna Goodison Queen meant Jamaicans,I fidgeted front row along small children crowd lining sides King Street . Every minutes wed told adult straighten wave paper union jack… [ +8858 chars ],English,https://amp.theguardian.com/uk-news/2022/sep/09/lorna-goodison-on-what-the-queen-meant-to-jamaicans,https://i.guim.co.uk/img/media/c84bb14557338a23cb1dce7aa784f546e2154848/0_0_2048_1229/master/2048.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=fa769a179e8e83f43ca79d26d41bd84d,Unknown,Unknown,True,newsAPI
110,The Guardian,2022-09-09,The Queen has left a void that Britain will struggle to fill | Letters,"Jonathan Freedlands article is a minor masterpiece: astute, tactful, with more distance than a simple obituary, a tribute that captures the essence of the place in British society of this distant, li… [+6691 chars]",The Queen left void Britain struggle fill | Letters,"Jonathan Freedlands article minor masterpiece : astute , tactful , distance simple obituary , tribute captures essence place British society distant , li… [ +6691 chars ]",English,https://amp.theguardian.com/uk-news/2022/sep/09/the-queen-has-left-a-void-that-britain-will-struggle-to-fill,https://i.guim.co.uk/img/media/c26763bcdcedcbbc553ae4ee659484b0798cce16/0_54_6000_3600/master/6000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=9a5c2afb891b7067f5f57a910ec87d90,Unknown,Unknown,True,newsAPI
111,The Guardian,2022-09-09,The Crown to pause filming due to the Queen’s death,"As a result of the death of Queen Elizabeth II, filming is to halt on the new series of the Netflix drama The Crown. Peter Morgans award-winning series, which dramatises the lives of the British mona… [+1636 chars]",The Crown pause filming due Queen ’ death,"As result death Queen Elizabeth II , filming halt new series Netflix drama The Crown . Peter Morgans award-winning series , dramatises lives British mona… [ +1636 chars ]",English,https://amp.theguardian.com/tv-and-radio/2022/sep/09/the-crown-to-pause-filming-due-to-the-queen-death,https://i.guim.co.uk/img/media/a5311dca4c96067596459f908a132989a8bd05be/0_200_3000_1800/master/3000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=8711693e951f35fe3ec932c43256aa9a,Unknown,Unknown,True,newsAPI
112,Yahoo Entertainment,2022-09-09,New York Times under fire for opinion piece saying Queen ‘helped obscure a bloody history of decolonisation’,"The New York Times has come under fire for promoting an article which claimed that Queen Elizabeth II helped obscure a bloody history of decolonisation.
The US publication published an opinion piece… [+2847 chars]",New York Times fire opinion piece saying Queen ‘ helped obscure bloody history decolonisation ’,The New York Times come fire promoting article claimed Queen Elizabeth II helped obscure bloody history decolonisation . The US publication published opinion piece… [ +2847 chars ],English,https://news.yahoo.com/york-times-under-fire-opinion-104552476.html,https://s.yimg.com/ny/api/res/1.2/cGLWNr_oEXVtQJq_G.Pr.Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03NTA-/https://media.zenfs.com/en/the_telegraph_258/dbcd1d3155b3a24449a5a26b9c409817,Unknown,Unknown,True,newsAPI
113,Yahoo Entertainment,2022-09-08,Carnegie Mellon professor wishes Queen Elizabeth ‘excruciating pain’ as she ‘finally’ dies,"A professor at Carnegie Mellon University drew criticism on social media after wishing Englands Queen Elizabeth ""excruciating pain"" hours before she died on Thursday.
""I heard the chief monarch of a… [+2432 chars]",Carnegie Mellon professor wishes Queen Elizabeth ‘ excruciating pain ’ ‘ finally ’ dies,A professor Carnegie Mellon University drew criticism social media wishing Englands Queen Elizabeth `` excruciating pain '' hours died Thursday . `` I heard chief monarch a… [ +2432 chars ],English,https://news.yahoo.com/carnegie-mellon-professor-wishes-queen-183350070.html,https://s.yimg.com/ny/api/res/1.2/mI97mvj2Pk09SYAXuynmkA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/fox_news_text_979/e7193e50da9defdeea76ffed265f12c4,Unknown,Unknown,True,newsAPI
114,Yahoo Entertainment,2022-09-09,Former BBC royal correspondent Wesley Kerr reflects on life and legacy of Queen Elizabeth II,"Peter Summers/Getty ImagesPrince Harry departed Balmoral Castle on Friday morning the same way he had arrivedalone.The prince, who spent just over 12 hours at Balmoral, has become estranged from his … [+298 chars]",Former BBC royal correspondent Wesley Kerr reflects life legacy Queen Elizabeth II,"Peter Summers/Getty ImagesPrince Harry departed Balmoral Castle Friday morning way arrivedalone.The prince , spent 12 hours Balmoral , become estranged … [ +298 chars ]",English,https://news.yahoo.com/former-bbc-royal-correspondent-wesley-125401778.html,https://s.yimg.com/uu/api/res/1.2/a31HfZaNjqMDOJP7lsJM3w--~B/aD0zNjA7dz02NDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/video.cbsnewsvideos.com/b411077a465bbcb6ee0a9adac89a08e1,Unknown,Unknown,True,newsAPI
115,Yahoo Entertainment,2022-09-09,'My darling mama': King Charles III pays tribute to queen,"Flags were flown at half-mast at Amalienborg Palace, the home of the Danish royal family in Copenhagen, on Friday, September 9, in tribute to the United Kingdoms Queen Elizabeth II, who died in Scotl… [+1031 chars]",'My darling mama ' : King Charles III pays tribute queen,"Flags flown half-mast Amalienborg Palace , home Danish royal family Copenhagen , Friday , September 9 , tribute United Kingdoms Queen Elizabeth II , died Scotl… [ +1031 chars ]",English,https://news.yahoo.com/darling-mama-king-charles-iii-175740046.html,https://s.yimg.com/ny/api/res/1.2/AhwQIXtClYGstyFC9ZginA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2022-09/18138d60-3068-11ed-bb7e-22ea5aa2ebf7,Unknown,Unknown,True,newsAPI
116,ABC News,2022-09-08,Britain's Queen Elizabeth II 'under medical supervision',"LONDON -- Britain's Queen Elizabeth II is ""under medical supervision,"" Buckingham Palace announced Thursday.
""Following further evaluation this morning, The Queens doctors are concerned for Her Maje… [+196 chars]",Britain 's Queen Elizabeth II 'under medical supervision ',"LONDON -- Britain 's Queen Elizabeth II `` medical supervision , '' Buckingham Palace announced Thursday . `` Following evaluation morning , The Queens doctors concerned Her Maje… [ +196 chars ]",English,https://abcnews.go.com/International/britains-queen-elizabeth-ii-medical-supervision/story?id=89517044,https://s.abcnews.com/images/General/Breaking-News-banner-abc-ps-181024_hpMain_16x9_992.jpg,Unknown,Unknown,True,newsAPI
117,The Guardian,2022-09-09,The loss of the Queen will test a divided Britain | Martin Kettle,"The death of a monarch is an entirely foreseeable event, the solemn formalities hardwired into the rituals of dynastic succession. But it is also an event that is difficult, partly for the simple rea… [+5242 chars]",The loss Queen test divided Britain | Martin Kettle,"The death monarch entirely foreseeable event , solemn formalities hardwired rituals dynastic succession . But also event difficult , partly simple rea… [ +5242 chars ]",English,https://amp.theguardian.com/commentisfree/2022/sep/09/queen-test-divided-britain-constitution,https://i.guim.co.uk/img/media/525a34e3403148cea22f990db9dbdf8b9ac77971/0_301_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&enable=upscale&s=47fbe4648bfe512a348bdb02bb16237d,Unknown,Unknown,True,newsAPI
118,Business Insider,2022-09-09,This is how companies are reacting to the Queen's death – and not everyone is getting it right,"Britain lost its longest-serving monarch and entered 10 days of national mourning on Thursday.
After Buckingham Palace officially announced the Queen's death on Thursday night, companies unleashed a… [+2861 chars]",This companies reacting Queen 's death – everyone getting right,"Britain lost longest-serving monarch entered 10 days national mourning Thursday . After Buckingham Palace officially announced Queen 's death Thursday night , companies unleashed a… [ +2861 chars ]",English,https://www.businessinsider.com/queen-elizabeth-death-brands-mourning-social-media-2022-9,https://i.insider.com/631b37310a329a0011e39b81?width=1200&format=jpeg,Unknown,Unknown,True,newsAPI
119,Reuters,2022-09-08,Queen was Britain’s ultimate brand ambassador - Reuters.com,"LONDON, Sept 8 (Reuters Breakingviews) - Queen Elizabeth II helped the United Kingdom muddle through. The countrys longest-serving monarch, who has died aged 96, had been on the throne for a decade w… [+4616 chars]",Queen Britain ’ ultimate brand ambassador - Reuters.com,"LONDON , Sept 8 ( Reuters Breakingviews ) - Queen Elizabeth II helped United Kingdom muddle . The countrys longest-serving monarch , died aged 96 , throne decade w… [ +4616 chars ]",English,https://www.reuters.com/breakingviews/queen-was-britains-ultimate-brand-ambassador-2022-09-08/,https://www.reuters.com/resizer/oBYSCKqXh5E1iT9blCJbwGQ9I6o=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VETG7OOJERJRLK5PCHOUFYAB74.jpg,Unknown,Unknown,True,newsAPI
120,Time,2022-09-08,‘We Will Never Have Another Quite Like Her.’ How the U.K. Is Mourning Queen Elizabeth II’s Death,"The soft rain blanketing Edinburgh’s Holyrood Palace did little to deter stunned mourners gathered outside Thursday evening, as one constant of British life appeared to pay its own solemn tribute to … [+6858 chars]",‘ We Will Never Have Another Quite Like Her. ’ How U.K. Is Mourning Queen Elizabeth II ’ Death,"The soft rain blanketing Edinburgh ’ Holyrood Palace little deter stunned mourners gathered outside Thursday evening , one constant British life appeared pay solemn tribute … [ +6858 chars ]",English,https://time.com/6211949/uk-mourns-queen-elizabeth-ii/,https://api.time.com/wp-content/uploads/2022/09/queen-elizabeth-uk-reaction-1.jpg?quality=85&crop=0px%2C209px%2C2400px%2C1256px&resize=1200%2C628&strip,Unknown,Unknown,True,newsAPI
121,Reuters,2022-09-09,Morning Bid: End of an era - Reuters.com,"A look at the day ahead in European and global markets from Tom Westbrook
The death of Queen Elizabeth II and a frantic session of rate hikes and spending plans on Thursday seems likely to subdue tr… [+1695 chars]",Morning Bid : End era - Reuters.com,A look day ahead European global markets Tom Westbrook The death Queen Elizabeth II frantic session rate hikes spending plans Thursday seems likely subdue tr… [ +1695 chars ],English,https://www.reuters.com/markets/europe/global-markets-view-europe-2022-09-09/,https://www.reuters.com/resizer/YlMFyYEW0FYV9DX_AARke-Ayxok=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QNPOQRZ6NNIJ5BZJHPFCSO7CA4.jpg,Unknown,Unknown,True,newsAPI
122,Time,2022-09-08,How the World Is Responding to News of Queen Elizabeth II’s Death,"As Buckingham Palace announced Thursday that Queen Elizabeth II had died, the world began mourning. Earlier in the day, doctors had expressed concerns about the 96-year-old monarch’s health and sever… [+4891 chars]",How World Is Responding News Queen Elizabeth II ’ Death,"As Buckingham Palace announced Thursday Queen Elizabeth II died , world began mourning . Earlier day , doctors expressed concerns 96-year-old monarch ’ health sever… [ +4891 chars ]",English,https://time.com/6211821/queen-elizabeth-ii-death-world-reactions/,https://api.time.com/wp-content/uploads/2022/09/GettyImages-1243045262.jpg?quality=85&w=1024&h=628&crop=1,Unknown,Unknown,True,newsAPI
123,Reuters,2022-09-07,Giggs to face retrial over assault charges - Guardian - Reuters,"LONDON, Sept 7 (Reuters) - Former Manchester United soccer player Ryan Giggs will face a retrial next year, the Guardian newspaper reported on Wednesday after a jury was unable to reach a verdict las… [+424 chars]",Giggs face retrial assault charges - Guardian - Reuters,"LONDON , Sept 7 ( Reuters ) - Former Manchester United soccer player Ryan Giggs face retrial next year , Guardian newspaper reported Wednesday jury unable reach verdict las… [ +424 chars ]",English,https://www.reuters.com/lifestyle/sports/giggs-face-retrial-over-assault-charges-guardian-2022-09-07/,https://www.reuters.com/resizer/_NZp2mbzmpThYQGHxPU7ceFrOlc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/EVJEGRMNJ5OYZIRPZ2NK6DBH6U.jpg,Unknown,Unknown,True,newsAPI
124,GMA,2022-09-08,"Queen Elizabeth, longest-reigning British monarch, dies at 96","Queen Elizabeth II, the longest-reigning monarch in British history, has died. She was 96 years old.
""The Queen died peacefully at Balmoral this afternoon,"" Buckingham Palace said in a statement Thu… [+21914 chars]","Queen Elizabeth , longest-reigning British monarch , dies 96","Queen Elizabeth II , longest-reigning monarch British history , died . She 96 years old . `` The Queen died peacefully Balmoral afternoon , '' Buckingham Palace said statement Thu… [ +21914 chars ]",English,https://goodmorningamerica.com/news/story/queen-elizabeth-longest-reigning-british-monarch-dies-96-18641713,https://s.abcnews.com/images/International/queen_elizabeth_ii_hpMain_1_16x9_992.jpg,Unknown,Unknown,True,newsAPI
125,ABC News,2022-09-08,Queen Elizabeth II dies: What to know about the British royal line of succession,"LONDON -- With the passing of Queen Elizabeth II, there is a new line of succession to the British throne.
The queen's oldest son, Charles, the Prince of Wales, is now the new king.
With his ascens… [+3500 chars]",Queen Elizabeth II dies : What know British royal line succession,"LONDON -- With passing Queen Elizabeth II , new line succession British throne . The queen 's oldest son , Charles , Prince Wales , new king . With ascens… [ +3500 chars ]",English,https://abcnews.go.com/International/News/queen-elizabeth-dies-96-british-royal-line-succession/story?id=65427816,https://s.abcnews.com/images/International/royals-buckingham-palace-trooping-gty-jc-180613_hpMain_3_16x9_992.jpg,Unknown,Unknown,True,newsAPI
126,GMA,2022-09-08,"Queen Elizabeth II dies: What to know about funeral, coronation and more","Queen Elizabeth II, Britain's longest-reigning monarch, has died at the age of 96, Buckingham Palace announced Thursday.
With the queen's death come questions about what happens next, as the world h… [+4562 chars]","Queen Elizabeth II dies : What know funeral , coronation","Queen Elizabeth II , Britain 's longest-reigning monarch , died age 96 , Buckingham Palace announced Thursday . With queen 's death come questions happens next , world h… [ +4562 chars ]",English,https://goodmorningamerica.com/news/story/queen-elizabeth-ii-dies-funeral-coronation-88971819,https://s.abcnews.com/images/GMA/queen-elizabeth-jubilee-portrait-main-ap-jt-20601_1654117588589_hpMain_16x9_992.jpg,Unknown,Unknown,True,newsAPI
127,Global News,2022-09-09,Charles to give 1st speech as king as U.K. mourns Queen Elizabeth’s death - Global News,"Britain’s new king prepared to meet with the prime minister Friday and address a nation mourning Queen Elizabeth II, the only British monarch most of the world had known and a force of stability in a… [+7014 chars]",Charles give 1st speech king U.K. mourns Queen Elizabeth ’ death - Global News,"Britain ’ new king prepared meet prime minister Friday address nation mourning Queen Elizabeth II , British monarch world known force stability a… [ +7014 chars ]",English,https://globalnews.ca/news/9116862/king-charles-address-queen-elizabeth-death/,https://globalnews.ca/wp-content/uploads/2022/09/queen-elizabeth-death-mourning-e1662720498267.jpg?quality=85&strip=all&w=720&h=379&crop=1,Unknown,Unknown,True,newsAPI
